date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:17	1446/1446	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Jan%202023%2021:46:45%20GMT	https://patrickcollison.com/robots.txt		(from )
13:47:17	1418/1418	---MCZ	200	added ('OK')	text/html	etag:W/%22d5f64d7dcdc87ca491384f410934054f%22	https://patrickcollison.com/	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/index.html	(from )
13:47:18	1365/1365	---MCZ	200	added ('OK')	text/css	etag:W/%22cc42c2a4cd0e5ff40dc54662805083a6%22	https://patrickcollison.com/static/style.css	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/static/style.css	(from https://patrickcollison.com/)
13:47:18	4857/4857	---MCZ	200	added ('OK')	text/html	etag:W/%2219c43428425fabbf5dd147c9e22f4629%22	https://patrickcollison.com/about	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/about	(from https://patrickcollison.com/)
13:47:18	5773/5773	---MCZ	200	added ('OK')	text/html	etag:W/%2276f12f9b5ba97317e0277dea385bcd28%22	https://patrickcollison.com/advice	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/advice	(from https://patrickcollison.com/)
13:47:18	12631/12631	---MCZ	200	added ('OK')	text/html	etag:W/%2256e77cb8762eb64d8db3c25314dd62d0%22	https://patrickcollison.com/blog	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/blog	(from https://patrickcollison.com/)
13:47:18	87424/87424	---MCZ	200	added ('OK')	text/html	etag:W/%227fe6391d8d2943d2a4a5cb1e4b5d37bf%22	https://patrickcollison.com/bookshelf	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/bookshelf	(from https://patrickcollison.com/)
13:47:19	7094/7094	---MCZ	200	added ('OK')	text/html	etag:W/%22dac89edc160f65fbfdee985fafabdcb5%22	https://patrickcollison.com/culture	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/culture	(from https://patrickcollison.com/)
13:47:19	17098/17098	---MCZ	200	added ('OK')	text/html	etag:W/%224038ceb5c4aa70d17fb0bbd2ba9ce945%22	https://patrickcollison.com/fast	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/fast	(from https://patrickcollison.com/)
13:47:19	9932/9932	---MCZ	200	added ('OK')	text/html	etag:W/%228f2ffbe9cd271055f892512ecca92eeb%22	https://patrickcollison.com/growth	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/growth	(from https://patrickcollison.com/)
13:47:19	6435/6435	---MCZ	200	added ('OK')	text/html	etag:W/%2248735b1fcb276e9ae2ca455ad300a54c%22	https://patrickcollison.com/labs	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/labs	(from https://patrickcollison.com/)
13:47:19	2332/2332	---MCZ	200	added ('OK')	text/html	etag:W/%22479fb7e52b121289216a35c99be5f539%22	https://patrickcollison.com/links	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/links	(from https://patrickcollison.com/)
13:47:20	11275/11275	---MCZ	200	added ('OK')	text/html	etag:W/%228b43d81fbd6c306ee99936506ac65682%22	https://patrickcollison.com/people	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/people	(from https://patrickcollison.com/)
13:47:20	8261/8261	---MCZ	200	added ('OK')	text/html	etag:W/%2278faa68faae859d1b92a680018bcfda2%22	https://patrickcollison.com/pollution	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/pollution	(from https://patrickcollison.com/)
13:47:20	7065/7065	---MCZ	200	added ('OK')	text/html	etag:W/%22da4045e10fd242609ab01f75a93bdfd6%22	https://patrickcollison.com/progress	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/progress	(from https://patrickcollison.com/)
13:47:20	30870/30870	---MCZ	200	added ('OK')	text/html	etag:W/%22f2cbc836a0b48f04f66af36e4862e8d3%22	https://patrickcollison.com/questions	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/questions	(from https://patrickcollison.com/)
13:47:20	5276/5276	---MCZ	200	added ('OK')	text/html	etag:W/%22cb53d755a64272121948d14c13bd4feb%22	https://patrickcollison.com/svhistory	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/svhistory	(from https://patrickcollison.com/)
13:47:21	3440/3440	---MCZ	200	added ('OK')	text/html	etag:W/%2265675f70b34ce2e0a6df7cb6c6e8fb64%22	https://patrickcollison.com/travel	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/travel	(from https://patrickcollison.com/)
13:47:21	2726/2726	---MCZ	200	added ('OK')	text/html	etag:W/%22e9568cd8641e99b1c58cce3ffa6074b7%22	https://patrickcollison.com/work	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/work	(from https://patrickcollison.com/)
13:47:21	123679/123679	---M--	200	added ('OK')	image/jpeg	etag:%220293cda928c47539679cf2a5d8856797%22	https://patrickcollison.com/static/profile.jpg	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/static/profile.jpg	(from https://patrickcollison.com/about)
13:47:22	8291/8291	---MCZ	200	added ('OK')	text/html	etag:W/%22942bda1f318144789dfa634d96d1c3ec%22	https://patrickcollison.com/post/government-internet	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/post/government-internet	(from https://patrickcollison.com/blog)
13:47:22	5607/5607	---MCZ	200	added ('OK')	text/html	etag:W/%229f5fd48d045c221f6c74342da995e07b%22	https://patrickcollison.com/post/stripe-ireland	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/post/stripe-ireland	(from https://patrickcollison.com/blog)
13:47:23	119491/119491	---M--	200	added ('OK')	image/png	etag:%22e9c1f4c9102cf0709b13e85fa7df20b9%22	https://patrickcollison.com/static/files/lucas.png	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/static/files/lucas.png	(from https://patrickcollison.com/growth)
13:47:23	2230675/2230675	---M--	200	added ('OK')	application/pdf	etag:%22909f9aa62fdb72ea7b5523c52ae9c7e8%22	https://patrickcollison.com/static/files/alto.pdf	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/static/files/alto.pdf	(from https://patrickcollison.com/fast)
13:47:23	46082/46082	---M--	200	added ('OK')	application/pdf	etag:%226046e0ed291261e7eef3fb1c5d188fb9%22	https://patrickcollison.com/static/files/labs/taylor-markoff-interview.pdf	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/static/files/labs/taylor-markoff-interview.pdf	(from https://patrickcollison.com/labs)
13:47:24	153992/153992	---M--	200	added ('OK')	application/pdf	etag:%2274f5b45ac556588c8bb3dcd8a91979a4%22	https://patrickcollison.com/static/files/progress-mz.pdf	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/static/files/progress-mz.pdf	(from https://patrickcollison.com/progress)
13:47:24	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Jan%202023%2021:46:52%20GMT	https://patrickcollison.com/questions/us-gdp.gif	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/questions/us-gdp.gif	(from https://patrickcollison.com/questions)
13:47:24	464425/464425	---M--	200	added ('OK')	image/png	etag:%229712059f1f60a85878b689bc64dc960c%22	https://patrickcollison.com/static/files/questions/inflation.png	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/static/files/questions/inflation.png	(from https://patrickcollison.com/questions)
13:47:24	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Jan%202023%2021:46:52%20GMT	https://patrickcollison.com/questions/global-gdp.png	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/questions/global-gdp.png	(from https://patrickcollison.com/questions)
13:47:24	1632345/1632345	---M--	200	added ('OK')	application/pdf	etag:%224216da129ff84dcd33e5db0a708407e6%22	https://patrickcollison.com/static/files/labs/context.pdf	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/static/files/labs/context.pdf	(from https://patrickcollison.com/labs)
13:47:25	113389/113389	---M--	200	added ('OK')	image/jpeg	etag:%22493899707166d01:0%22	https://nexus.od.nih.gov/all/wp-content/uploads/2015/03/2.jpg	C:/My%20Web%20Sites/Harsh%20Website/nexus.od.nih.gov/all/wp-content/uploads/2015/03/2.jpg	(from https://patrickcollison.com/questions)
13:47:25	74756/74756	---M--	200	added ('OK')	image/png	etag:%22c14ceffc2d15804ecc0bf6274eda9017%22	https://patrickcollison.com/static/files/questions/d18o.png	C:/My%20Web%20Sites/Harsh%20Website/patrickcollison.com/static/files/questions/d18o.png	(from https://patrickcollison.com/questions)
